label	scenario	kind	item	qty	do_id	reference_id	topic	partition	offset	file
SLSU_OPEX	SLSU	OPEX	7299090	1	1905042601	ADC1905042601	EQA3.L.ROUTING.TXN.ADC	1	3923	C:\Users\SMukherjee4\OneDrive - Williams-Sonoma Inc\Desktop\Kafka\Kafka_UI\Kafka_UI\4WALL_DO_INJECTOR\4WALL_DO_INJECTOR\tXMLs\generated_DCM_ADC_EQA3_20260504_125022\DCM_ADC_SLSU_OPEX_1905042601.xml
SLSU_MAC	SLSU	MAC	1094564	1	1905042602	ADC1905042602	EQA3.L.ROUTING.TXN.ADC	11	4029	C:\Users\SMukherjee4\OneDrive - Williams-Sonoma Inc\Desktop\Kafka\Kafka_UI\Kafka_UI\4WALL_DO_INJECTOR\4WALL_DO_INJECTOR\tXMLs\generated_DCM_ADC_EQA3_20260504_125022\DCM_ADC_SLSU_MAC_1905042602.xml
SLMU_OPEX_1	SLMU	OPEX	7299090	3	1905042603	ADC1905042603	EQA3.L.ROUTING.TXN.ADC	2	4538	C:\Users\SMukherjee4\OneDrive - Williams-Sonoma Inc\Desktop\Kafka\Kafka_UI\Kafka_UI\4WALL_DO_INJECTOR\4WALL_DO_INJECTOR\tXMLs\generated_DCM_ADC_EQA3_20260504_125022\DCM_ADC_SLMU_OPEX_1_1905042603.xml
SLMU_MAC	SLMU	MAC	1094564	3	1905042604	ADC1905042604	EQA3.L.ROUTING.TXN.ADC	0	4593	C:\Users\SMukherjee4\OneDrive - Williams-Sonoma Inc\Desktop\Kafka\Kafka_UI\Kafka_UI\4WALL_DO_INJECTOR\4WALL_DO_INJECTOR\tXMLs\generated_DCM_ADC_EQA3_20260504_125022\DCM_ADC_SLMU_MAC_1905042604.xml
SLMU_OPEX_2	SLMU	OPEX	7299090	3	1905042605	ADC1905042605	EQA3.L.ROUTING.TXN.ADC	8	3990	C:\Users\SMukherjee4\OneDrive - Williams-Sonoma Inc\Desktop\Kafka\Kafka_UI\Kafka_UI\4WALL_DO_INJECTOR\4WALL_DO_INJECTOR\tXMLs\generated_DCM_ADC_EQA3_20260504_125022\DCM_ADC_SLMU_OPEX_2_1905042605.xml
